Type,Removed_stopwords
1,اشتباك الحريري عون اتهامات لباسيل بالتمسك بالثلث المعطل للبقاء الحكم
1,عون الحريري اصبح غريب الاطوار
1,وزير الخارجية الامريكي ندرس سحب كامل قواتنا افغانستان بحلول
1,افغانستان استعدادات حثيثة لاجتماع تركيا وكابل تتهم طالبان بالتركيز الحرب بدل السلام
1,اندبندنت‮ ‬ ‬مفاوضات ‬سرية ‬‬كادت ‬تنقذ ‬القذافي
1,سيف القذافي اتفاق قريب جدا ترحيل الممرضات والطبيب البلغاريين
1,قتلى ودمار الاف الخيام حريق بمخيم للاجئين الروهينغيا بنغلاديش
1,بنغلاديش تشرع نقل الاف الروهينغا المسلمين الى جزيرة نائية
1,الانسحاب اتفاقية اسطنبول ناشطات نسويات يتخوفن ايام صعبة
1,وثيقة مخابراتية تكشف دعم اردوغان للمتطرفين بهولندا
1,اقترحتها مصر والسودان اثيوبيا ترفض الوساطة الرباعية
1,حمدوك السودان يتسبب ازمة الحدود اثيوبيا
1,الصين وروسيا تهاجمان وتعتبران سياسات ولايات المتحدة مقبولة
1,بايدن يدعو رئيسي روسيا والصين لقمة بشان المناخ ابريل
1,تقرير بريطاني شهادات مزورة تسمح للمسافرين البصرة بركوب الطائرات
1,ميدل ايست اي كورونا يؤدي لانهيار الاقتصاد المصري
1,بريطانيا لقاح شركة استرازينيكا وجامعة اكسفورد فعال بنسبة ضد فيروس كورونا
1,فيروس كورونا استرازينيكا تخفض نسبة فعالية لقاحها الولايات المتحدة
1,عقوبات دولية صينيين متهمين بقمع الايغور وبكين ترد بالمثل
1,معاهدة انقرة وبكين الامنية تثير قلق الايغور تركيا
1,هزيمة بايدن لترامب حولت فعلا الزخم بعيدا اليمين المتطرف العالمي
1,لاكروا وصول بايدن الى السلطة يؤدي الى انتكاسة بشان التطبيع اسرائيل
1,تطور قضية كارلوس غصن اتهام رسمي ياباني لاميركيين ساعداه الهرب
1,قصة كارلوس غصن رئيس العملاقة الى هارب دولي
1,اﻷﻃﺮاف اﻷﻓﻐﺎﻧﻴﺔ ﻣﺘﻔﻘﺔ ﻋﻠﻰ ان ﻣﺴﺎر اﻟﺪوﺣﺔ ﻣﺮﺟﻌﻴﺔ ﻟﻠﺴﻼم
1,رياض حجاب يعود الى الواجهة مجددا قبيل اعلان ولادة مسار الدوحة
1,رايتس ووتش تقاعس النظام معالجة ازمة الخبز يدفع بملايين السوريين الجوع
1,تصعيد روسي ادلب وتحرك تركي لايقافه
1,اغلاق شامل للضفة ومعابر غزة بسبب الانتخابات الاسرائيلية
1,خطة ترامب للسلام الجيش الاسرائيلي ينشر تعزيزات عسكرية بالضفة الغربية وقرب غزة
1,اقتحام الكابيتول اتهامات بالتامر وعصيان القوانين للمعتدين
